Model,Train Acc,Val Acc,Test Acc,Precision,Recall,F1-Score,ROC AUC,Train Time
LightGBM – Baseline,0.9999880161468594,0.9991535817048761,0.9992912875166313,0.9997951878642706,0.9994860940298771,0.999640617053738,0.9987132706081414,26.98756432533264
LightGBM – Optimization 1,0.9999728570847669,0.9986102443647312,0.9972587536020646,0.99995241390656,0.9972677558580535,0.998608280527197,0.9985835278085975,22.553499460220337
LightGBM – Optimization 2,0.9999750080327665,0.9982405312902529,0.9971985799006465,0.9999605684667389,0.9971986022842375,0.9985776755484436,0.9988263336594152,57.29193663597107
LightGBM – Optimization 3 (fixed),0.9998472826920282,0.9993321557851339,0.9995145988085608,0.999555424231006,0.9999525416650282,0.9997539435127513,0.9998253772196417,62.97500419616699
TabTransformer – Baseline,0.9996703928255847,0.9995309098787257,0.9991334986995795,0.999189742519684,0.9999322023786118,0.9995608345769577,0.9997013856190574,1648.4511668682098
